GeneName	AccNum	Chrom	mRNALength	ORFLength	fpUTR_length	tpUTR_length	sumIntronLengths
Tspyl3	NM_198617	chr2	3072	1005	125	1942	0
Ccdc170	NM_001195672	chr10	2151	2151	0	0	49089
Ccdc171	NM_001081012	chr4	4525	3975	327	223	334601
Ccdc172	NM_029372	chr19	1086	804	111	171	39998
Kdelc2	NM_212445	chr9	3644	1512	77	2055	14201
Ccdc174	NM_172730	chr6	1757	1404	92	261	20039
Ccdc175	NM_028687	chr12	2630	2469	46	115	81108
Srrm4	NM_026886	chr5	7475	1827	353	5295	145070
Rhox4f	NM_001039696	chrX	929	618	174	137	3863
Gpd1	NM_010271	chr15	2785	1050	15	1720	4630
Gpd2	NM_001145820	chr2	5745	2184	319	3242	127297
Rhox4a	NM_001039688	chrX	891	618	136	137	3870
Prss50	NM_146227	chr9	1455	1320	24	111	5207
Gm7903	NM_001242937	chrX	3836	1392	253	2191	6274
Cpn1	NM_030703	chr19	1791	1374	232	185	28422
Klrd1	NM_010654	chr6	866	540	20	306	6099
Plbd1	NM_025806	chr6	1974	1653	214	107	47849
Mapre1	NM_007896	chr2	7327	807	136	6384	24701
Dip2b	NM_001159361	chr15	8914	4725	146	4043	171896
Dip2c	NM_001081426	chr13	8024	4671	457	2896	384378
Tceal1	NM_146236	chrX	1108	498	51	559	694
Nol10	NM_001008421	chr12	2986	2064	61	861	78617
Nr1i3	NM_009803	chr1	1414	1077	210	127	3462
Nr1i2	NM_010936	chr16	2527	1296	335	896	43949
Cdk2	NM_183417	chr10	2432	1041	224	1167	4681
Olfr39	NM_146825	chr9	1098	960	126	12	3200
Cdk4	NM_009870	chr10	1346	912	173	261	2334
Cdk5	NM_007668	chr5	2058	879	45	1134	3231
Cdk6	NM_009873	chr5	11522	981	327	10214	175591
Cdk7	NM_009874	chr13	7597	1041	103	6453	26321
Cdk8	NM_153599	chr5	2586	1395	18	1173	68614
Cdk9	NM_130860	chr2	3389	1119	128	2142	3614
Cln8	NM_012000	chr8	6431	867	699	4865	6753
Olfr504	NM_001011858	chr7	957	957	0	0	0
Srek1	NM_172592	chr13	4063	1485	629	1949	18905
Klk9	NM_028660	chr7	1475	756	106	613	3391
Tlr3	NM_126166	chr8	4327	2718	361	1248	10548
Slc16a8	NM_020516	chr15	1791	1479	200	112	1942
Hdac3	NM_010411	chr18	2005	1287	75	643	16013
Cst11	NM_030059	chr2	606	420	94	92	2274
Cst12	NM_027054	chr2	546	426	0	120	3531
Cst13	NM_027024	chr2	765	426	261	78	9547
Olfr828	NM_146605	chr9	939	939	0	0	0
Tmem200b	NM_001201367	chr4	1370	855	0	515	0
Cfap100	NM_173775	chr6	2141	1842	156	143	22604
Olfr829	NM_147067	chr9	966	966	0	0	0
Olfr873	NM_146561	chr9	960	960	0	0	0
Tmprss11d	NM_145561	chr5	2046	1254	35	757	68488
Pde4a	NM_183408	chr9	4653	2535	214	1904	42882
Siglech	NM_178706	chr7	2483	930	102	1451	8259
Olfr30	NM_146878	chr11	1066	948	33	85	0
Enpep	NM_007934	chr3	4208	2838	268	1102	59365
Fut11	NM_028428	chr14	3344	1470	35	1839	1886
Tceal8	NM_001168578	chrX	2358	354	319	1685	910
Tcf3	NM_001164147	chr10	3320	1962	391	967	21169
Ppp3r1	NM_024459	chr11	2829	513	242	2074	38254
Suv39h1	NM_011514	chrX	3116	1239	198	1679	10474
Mxd3	NM_016662	chr13	1299	621	63	615	3264
Krtap10-4	NM_001135991	chr10	902	666	28	208	0
Fbxo10	NM_001024142	chr4	4634	2853	121	1660	45723
4930453H23Rik	NM_001252013	chrX	1719	258	984	477	13367
Saal1	NM_030233	chr7	4699	1425	19	3255	19845
Olfr688	NM_001011533	chr7	966	966	0	0	0
Hcn1	NM_010408	chr13	7911	2733	384	4794	370798
Psmc6	NM_025959	chr14	1564	1170	24	370	17684
Siglece	NM_031181	chr7	1849	1404	29	416	7243
Sppl2a	NM_023220	chr2	5612	1572	223	3817	37229
Ppp1r14d	NM_001290796	chr2	811	528	66	217	10936
Sppl2b	NM_175195	chr10	2869	1737	66	1066	10565
Amd2	NM_007444	chr10	3197	1005	328	1864	11525
Ppp1r14c	NM_133485	chr10	2524	495	517	1512	96302
Papolb	NM_019943	chr5	2337	1929	190	218	0
Amd1	NM_009665	chr10	3206	1005	330	1871	11525
S100a1	NM_011309	chr3	615	285	143	187	2682
Slc16a2	NM_009197	chrX	4157	1638	186	2333	120418
Rnf103	NM_001308303	chr6	3463	1530	1491	442	13541
Olfr826	NM_146676	chr10	942	942	0	0	0
Slc6a19os	NM_027780	chr13	1535	429	210	896	8496
Cdo1	NM_033037	chr18	1530	603	200	727	13608
Zfp608	NM_175751	chr18	6112	4536	546	1030	96024
Zfp609	NM_172536	chr9	8585	4242	226	4117	127397
Slc16a7	NM_011391	chr10	2419	1455	437	527	98632
Zfp600	NM_001177546	chr4	4248	2214	255	1779	37682
Olfr825	NM_146677	chr10	963	963	0	0	0
Zfp605	NM_001163996	chr5	3158	2085	381	692	16545
Zfp606	NM_001310620	chr7	4800	2211	692	1897	13131
Adgre4	NM_139138	chr17	3491	2070	145	1276	100188
Xrra1	NM_001164258	chr7	2631	2361	85	185	55976
Dkk3	NM_015814	chr7	3357	1050	115	2192	39682
Slurp2	NM_001081961	chr15	464	294	12	158	3385
Fancb	NM_001146081	chrX	2956	2562	306	88	13725
Prkar1a	NM_001313973	chr11	3520	1146	313	2061	16739
Prkar1b	NM_008923	chr5	2632	1146	131	1355	109817
Gm38425	NM_001251890	chrX	1688	597	91	1000	594
Svil	NM_153153	chr18	7424	6513	50	861	65281
Lgr5	NM_010195	chr10	4711	2724	287	1700	132756
Wwp2	NM_025830	chr8	4281	2613	59	1609	117917
Cyp2c40	NM_010004	chr19	1801	1563	5	233	43941
Nfib	NM_001113209	chr4	9241	1713	1019	6509	206366
Trim9	NM_001110203	chr12	4843	1644	446	2753	79040
Ttll12	NM_183017	chr15	3770	1920	47	1803	16294
Zfp784	NM_001039532	chr7	2146	894	34	1218	1855
Acaa2	NM_177470	chr18	1500	1194	38	268	25496
Fxyd7	NM_022007	chr7	678	243	68	367	8262
Scgb1b7	NM_001270542	chr7	421	282	17	122	895
4931423N10Rik	NM_027635	chr2	1842	1149	336	357	57812
Usp29	NM_001290994	chr7	7540	2610	1480	3450	229097
Usp28	NM_175482	chr9	4220	3156	96	968	52913
Olfr938	NM_146438	chr9	948	948	0	0	0
Usp26	NM_031388	chrX	4133	2508	695	930	43142
Usp25	NM_013918	chr16	4413	3168	27	1218	98299
Usp24	NM_183225	chr4	10601	7854	259	2488	114514
Timm50	NM_025616	chr7	1179	1062	14	103	5042
Hdac2	NM_008229	chr10	2004	1467	208	329	25341
Usp20	NM_028846	chr2	4157	2751	235	1171	36220
4931428F04Rik	NM_028888	chr8	3553	1404	578	1571	5567
Olfr522	NM_146952	chr7	939	939	0	0	0
Ccndbp1	NM_010761	chr2	1572	1071	102	399	6933
4930432K21Rik	NM_029045	chr8	2494	1803	381	310	22066
1700015F17Rik	NM_001200025	chr5	710	453	130	127	40607
Olfr368	NM_146374	chr2	984	984	0	0	0
Fndc3c1	NM_001007580	chrX	4812	4071	324	417	60375
Stom	NM_013515	chr2	2816	855	90	1871	20204
Naprt	NM_172607	chr15	1890	1617	239	34	1628
Zbtb24	NM_153398	chr10	2877	2133	204	540	12348
Ly6l	NM_001347049	chr15	842	423	5	414	1520
Gm1993	NM_001102677	chrX	923	639	163	121	21026
Ctns	NM_031251	chr11	3010	1104	121	1785	12877
Atxn2l	NM_001347658	chr7	4041	2985	95	961	6677
Parm1	NM_145562	chr5	2085	891	215	979	104212
Nat8f7	NM_001253910	chr6	1276	684	126	466	579
Olfr521	NM_146356	chr7	966	966	0	0	0
Prpf39	NM_177806	chr12	4068	1998	164	1906	22985
Them5	NM_025416	chr3	1251	747	160	344	4003
Lmtk3	NM_001290990	chr7	4995	4275	226	494	13768
Chic2	NM_028850	chr5	2550	498	343	1709	37088
Avl9	NM_030235	chr6	6691	1950	217	4524	40316
Prpf31	NM_027328	chr7	3142	1500	80	1562	9358
Topaz1	NM_001199736	chr9	4969	4962	0	7	49760
Alas1	NM_001291835	chr9	3089	1929	578	582	11187
Alas2	NM_009653	chrX	1979	1764	84	131	21227
4930568D16Rik	NM_029463	chr2	1227	960	106	161	12285
Htr3b	NM_020274	chr9	2411	1314	205	892	27572
Htr3a	NM_013561	chr9	2083	1470	134	479	9804
Brwd3	NM_001081477	chrX	6434	5400	226	808	85714
Tyk2	NM_001205312	chr9	4873	3624	268	981	22335
Brwd1	NM_145125	chr16	8547	6915	126	1506	81790
Nat8f6	NM_001201389	chr6	1373	681	258	434	454
Olfr520	NM_147063	chr7	951	951	0	0	0
V1rd18	NM_207618	chr7	1157	918	20	219	0
V1rd19	NM_207619	chr7	918	918	0	0	0
Scn2b	NM_001014761	chr9	4562	648	148	3766	7633
Hmgb3	NM_001293623	chrX	1798	603	326	869	2959
Zcchc7	NM_138590	chr4	2523	1626	158	739	173133
Hmgb1	NM_001313894	chr5	3035	648	352	2035	1880
Ssc5d	NM_173008	chr7	4260	4116	111	33	14694
Ramp1	NM_016894	chr1	2549	447	267	1835	42826
Tmem254a	NM_026679	chr14	2149	372	288	1489	2226
Ramp3	NM_019511	chr11	1221	444	40	737	17722
Ramp2	NM_019444	chr11	872	570	118	184	1045
Tigar	NM_177003	chr6	3653	810	85	2758	20784
Slc5a1	NM_019810	chr5	3933	1998	238	1697	54548
Syt10	NM_018803	chr15	1845	1572	91	182	57623
Syt11	NM_018804	chr3	4567	1293	275	2999	23332
Syt16	NM_172804	chr12	2705	1650	90	965	267451
Slc5a5	NM_053248	chr8	2928	1857	96	975	6941
Slc5a6	NM_001177621	chr5	3436	1905	760	771	9091
Syt15	NM_181529	chr14	3625	1257	128	2240	6751
Slc5a8	NM_145423	chr10	5331	1836	315	3180	38193
Slc5a9	NM_145551	chr4	4360	2058	141	2161	23060
Rita1	NM_133908	chr5	1666	762	494	410	1864
Myadml2	NM_026751	chr11	2307	924	330	1053	0
1700006A11Rik	NM_027939	chr3	1983	1635	113	235	22891
Fam96b	NM_026753	chr8	680	492	38	150	1210
Clec10a	NM_001204252	chr11	1501	918	321	262	2713
Lrp10	NM_022993	chr14	3012	2142	428	442	3133
Otud4	NM_001256033	chr8	7327	3324	230	3773	30753
Cxcr5	NM_007551	chr9	2615	1125	43	1447	12020
H2al1c	NM_001242949	chrX	318	318	0	0	0
Kcmf1	NM_019715	chr6	3251	1146	350	1755	55615
Nrcam	NM_176930	chr12	7572	3771	542	3259	265390
Otud3	NM_028453	chr4	1670	1191	120	359	16899
Dctd	NM_178788	chr8	2098	555	297	1246	29612
Ptgfr	NM_008966	chr3	4414	1101	299	3014	34505
Thpo	NM_009379	chr16	2416	1071	391	954	7642
Ly6i	NM_020498	chr15	878	405	371	102	2741
Gm10666	NM_001167573	chr7	966	966	0	0	0
Ldoc1l	NM_177630	chr15	4426	732	630	3064	0
Wsb1	NM_019653	chr11	2490	1266	303	921	12824
Sprr2i	NM_011475	chr3	617	231	61	325	664
Sprr2h	NM_011474	chr3	747	327	59	361	888
Sprr2k	NM_011477	chr3	639	207	56	376	707
Cyp2j11	NM_001004141	chr4	1935	1515	113	307	52238
Sp110	NM_175397	chr1	1939	1338	209	392	25053
Sprr2d	NM_011470	chr3	681	258	61	362	1053
Sprr2f	NM_011472	chr3	609	231	62	316	647
Slc19a2	NM_054087	chr1	3571	1497	207	1867	12769
Slc19a3	NM_030556	chr1	2974	1467	211	1296	22952
Ubald2	NM_176902	chr11	1482	495	215	772	3502
Slc19a1	NM_031196	chr10	2348	1539	183	626	14873
Cd38	NM_007646	chr5	3013	915	67	2031	40553
Clec2h	NM_053165	chr6	2160	657	57	1446	12830
Cyp2j13	NM_145548	chr4	4374	1512	72	2790	30507
Man2c1	NM_028636	chr9	3221	3120	12	89	8213
Styk1	NM_172891	chr6	3378	1290	845	1243	11306
Tnfrsf13b	NM_021349	chr11	750	750	0	0	6058
Calcoco2	NM_001271018	chr11	2029	996	35	998	11018
Cd33	NM_001111058	chr7	2571	1212	77	1282	3145
Cd34	NM_001111059	chr1	2621	978	145	1498	19851
Clec2d	NM_053109	chr6	1214	624	66	524	4707
Cd36	NM_001159558	chr5	3566	1419	487	1660	103704
Cd37	NM_001290802	chr7	1277	912	96	269	4207
Gan	NM_001081151	chr8	2652	1794	0	858	44400
Tmem55b	NM_001033271	chr14	1608	855	74	679	2027
Gal	NM_010253	chr19	788	375	233	180	3842
Gak	NM_153569	chr5	4798	3918	132	748	55873
Gm17019	NM_182957	chr5	1171	768	69	334	2887
Lrrtm1	NM_028880	chr6	2521	1569	565	387	280
Cited1	NM_007709	chrX	1107	612	416	79	3359
Zmpste24	NM_172700	chr4	3430	1428	244	1758	35576
Mta1	NM_001346696	chr12	2790	2112	140	538	36139
Mta2	NM_011842	chr19	3087	2007	435	645	7294
Mta3	NM_001171052	chr17	2673	1761	95	817	96587
Wscd2	NM_177292	chr5	4302	1716	1006	1580	115911
Trh	NM_009426	chr6	1384	771	111	502	1206
Tmprss11f	NM_178730	chr5	4277	1320	171	2786	106922
Arl2	NM_019722	chr19	869	555	36	278	5880
Ehd3	NM_020578	chr17	3658	1608	402	1648	23595
Ehd2	NM_153068	chr7	3058	1632	172	1254	15491
Tro	NM_001002272	chrX	7204	6264	117	823	5523
Galntl6	NM_175032	chr8	5089	1806	153	3130	1132487
Fam166a	NM_026624	chr2	1126	960	56	110	2411
Fam166b	NM_177377	chr4	1348	1140	45	163	767
Lrrtm2	NM_178005	chr18	5667	1548	428	3691	349
Zc2hc1b	NM_029172	chr10	1053	519	38	496	27327
Zc2hc1c	NM_172414	chr12	4482	1584	214	2684	6286
Zc2hc1a	NM_173181	chr3	3361	975	86	2300	47062
Slc35a4	NM_026404	chr18	2843	975	1099	769	1805
Slc35a5	NM_028756	chr16	4200	1314	312	2574	14901
Slc35a1	NM_011895	chr4	2039	1011	179	849	22143
Slc35a2	NM_001083937	chrX	2413	1173	99	1141	7371
Pet2	NM_008821	chrX	4182	2244	1508	430	1660
Abl1	NM_001283046	chr2	7367	3354	1550	2463	108459
Atxn7	NM_139227	chr14	6852	2604	271	3977	87959
Abl2	NM_009595	chr1	10714	3549	262	6903	80119
Atxn2	NM_009125	chr5	4472	3861	27	584	98870
Atxn3	NM_029705	chr12	5360	1068	86	4206	33983
Atxn1	NM_001199305	chr13	10607	2400	908	7299	404629
Slc6a3	NM_010020	chr13	3456	1860	157	1439	38470
Slc6a2	NM_009209	chr8	6073	1854	201	4018	34548
Vmn1r18	NM_134181	chr6	900	900	0	0	0
Vmn1r19	NM_134182	chr6	927	927	0	0	0
Slc6a7	NM_201353	chr18	3343	1914	190	1239	15477
Plscr3	NM_001168497	chr11	2861	891	312	1658	2826
Slc6a5	NM_001146013	chr7	2549	2400	80	69	46646
Zfp84	NM_023750	chr7	5711	1680	176	3855	7157
Vmn1r12	NM_001101579	chr6	924	924	0	0	0
Vmn1r13	NM_053235	chr6	903	903	0	0	0
Vmn1r10	NM_053231	chr6	936	936	0	0	0
Vmn1r11	NM_053233	chr6	900	900	0	0	0
Vmn1r16	NM_134184	chr6	912	912	0	0	0
Calb2	NM_007586	chr8	1431	816	69	546	24238
Calb1	NM_009788	chr4	2867	786	135	1946	22579
Vmn1r15	NM_053236	chr6	900	900	0	0	0
Olfr181	NM_146999	chr16	1391	954	378	59	1697
Cnfn	NM_028219	chr7	723	375	216	132	1386
Prkd2	NM_178900	chr7	3625	2628	559	438	23772
Zeb1	NM_011546	chr18	5806	3354	50	2402	177803
6030468B19Rik	NM_029964	chr11	1078	759	107	212	8571
Mtap	NM_024433	chr4	2558	852	122	1584	41163
Cd3e	NM_007648	chr9	1436	570	78	788	9412
Pfpl	NM_019540	chr19	3918	2109	194	1615	288
Col17a1	NM_001290825	chr19	5539	4413	241	885	40163
Olfr611	NM_146727	chr7	972	972	0	0	0
Mdn1	NM_001081392	chr4	17959	16749	132	1078	100140
Olfr613	NM_147100	chr7	5137	954	1419	2764	0
Mapk1ip1l	NM_178684	chr14	4493	729	96	3668	20285
Olfr615	NM_147080	chr7	942	942	0	0	0
Snd1	NM_019776	chr6	3482	2733	217	532	405003
Rd3	NM_001303132	chr1	3857	318	560	2979	6172
Olfr616	NM_147099	chr7	954	954	0	0	0
Camk2d	NM_001346635	chr3	5682	1602	489	3591	243694
Plac8	NM_139198	chr5	696	339	90	267	17777
Nup160	NM_021512	chr2	5684	4209	651	824	53430
Camk2g	NM_178597	chr14	3705	1590	123	1992	55511
Camk2a	NM_177407	chr18	4956	1437	147	3372	57565
Camk2b	NM_001174053	chr11	4013	1638	210	2165	92073
Nek6	NM_001159631	chr2	3175	942	133	2100	72440
Fam169a	NM_001100458	chr13	4554	1998	72	2484	53326
Elac2	NM_023479	chr11	2781	2496	76	209	20261
Ubxn8	NM_178648	chr8	2817	834	39	1944	19574
Olfr187	NM_146322	chr16	1087	927	131	29	2883
Ankhd1	NM_175375	chr18	8231	7647	135	449	90075
Ubxn4	NM_026390	chr1	4093	1521	290	2282	31104
Lrtm1	NM_176920	chr14	7318	1071	359	5888	8117
Ubxn6	NM_024432	chr17	1701	1329	71	301	5035
Ubxn7	NM_177633	chr16	10318	1470	36	8812	51178
Ubxn1	NM_146093	chr19	1033	894	54	85	3065
Olfr609	NM_147082	chr7	960	960	0	0	0
Adra1a	NM_013461	chr14	4277	1401	940	1936	93935
Xkr4	NM_001011874	chr1	3634	1944	150	1540	453383
Xkr7	NM_001011732	chr2	2711	1743	163	805	21213
Pibf1	NM_029320	chr14	3281	2271	727	283	151790
Adra1d	NM_013460	chr2	2394	1689	117	588	14535
Filip1l	NM_001040397	chr16	3946	3396	192	358	215582
Lcn3	NM_010694	chr2	684	564	4	116	1847
Smr2	NM_001252679	chr5	813	432	224	157	21685
Plac1	NM_019538	chrX	1070	522	240	308	43334
Xkr9	NM_001011873	chr1	1926	1122	464	340	31027
Xkr8	NM_201368	chr4	4238	1206	81	2951	3405
Rai14	NM_030690	chr15	4900	2940	241	1719	139663
Lep	NM_008493	chr6	3257	504	59	2694	10399
Dis3	NM_028315	chr14	3722	2877	97	748	19415
Rint1	NM_177323	chr5	3298	2379	130	789	29361
Alyref2	NM_019484	chr1	1273	657	179	437	0
Zfp189	NM_145547	chr4	3047	1827	387	833	7336
Rprm	NM_023396	chr2	1460	330	248	882	0
Atp5o	NM_138597	chr16	772	642	75	55	5636
Zfp185	NM_009549	chrX	3557	1461	225	1871	40648
Gchfr	NM_177157	chr2	629	255	50	324	3973
Zfp182	NM_001111076	chrX	5944	1884	180	3880	29911
Setdb2	NM_001320720	chr14	2991	2094	607	290	35881
Zfp180	NM_001289634	chr7	4027	1896	548	1583	21785
Tmem41b	NM_153525	chr7	3619	876	148	2595	10425
Gm14819	NM_001110250	chrX	893	639	132	122	21979
Ldlrad1	NM_001081272	chr4	947	657	290	0	7788
Mgat4d	NM_026233	chr8	1292	1122	13	157	29639
Grap	NM_027817	chr11	1599	654	26	919	17858
Atp5l	NM_013795	chr9	513	312	81	120	6982
Hax1	NM_011826	chr3	1158	843	136	179	2113
Rdx	NM_009041	chr9	4563	1752	552	2259	36235
Gkap1	NM_019832	chr13	1520	1101	157	262	39320
Vmn2r100	NM_001104562	chr17	2553	2553	0	0	24697
Vmn2r101	NM_001104563	chr17	2574	2574	0	0	32513
Vmn2r102	NM_001104564	chr17	2574	2574	0	0	31776
Vmn2r103	NM_001104565	chr17	2571	2571	0	0	36603
Vmn2r104	NM_001104566	chr17	2583	2583	0	0	16198
Vmn2r105	NM_001104567	chr17	2583	2583	0	0	24060
Vmn2r106	NM_001104568	chr17	2589	2589	0	0	15295
Vmn2r107	NM_001104569	chr17	2586	2586	0	0	27762
Cnnm3	NM_001039551	chr1	5291	2127	44	3120	11079
Vmn2r109	NM_001104571	chr17	2577	2577	0	0	21663
Olfr1000	NM_001011695	chr2	945	945	0	0	0
Olfr1006	NM_146570	chr2	987	939	48	0	3544
Gm7827	NM_001324526	chr8	1366	1236	42	88	29722
Impg1	NM_022016	chr9	3587	2397	149	1041	194322
Zfp987	NM_001037926	chr4	2833	1902	209	722	26479
Olfr933	NM_146441	chr9	927	927	0	0	0
Zfp184	NM_183014	chr13	2703	2214	343	146	12689
Zfp983	NM_001166497	chr17	4367	1383	558	2426	9989
Fscb	NM_001163271	chr12	3566	3189	208	169	0
Zfp981	NM_001243138	chr4	3068	1338	292	1438	34328
Rnase12	NM_001011875	chr14	545	438	22	85	0
Olfr262	NM_146688	chr19	939	939	0	0	0
Krtap9-1	NM_015741	chr11	612	561	51	0	0
Krtap9-3	NM_029351	chr11	759	411	52	296	0
Krtap9-5	NM_001085527	chr11	1077	1077	0	0	0
Gjd2	NM_010290	chr2	2879	966	485	1428	1140
Mrpl40	NM_010922	chr16	1055	621	114	320	3565
Tmsb15a	NM_030106	chrX	299	138	112	49	1708
Nudt2	NM_025539	chr4	848	444	40	364	14931
Car11	NM_009800	chr7	1440	987	306	147	3255
Kdm7a	NM_001033430	chr6	9553	2823	139	6591	60601
Tmsb15l	NM_207267	chrX	819	243	121	455	21066
Rtn4rl1	NM_177708	chr11	3308	1338	289	1681	70462
Rsl1d1	NM_025546	chr16	1839	1359	37	443	8417
2210016F16Rik	NM_027335	chr13	2822	1017	71	1734	2358
Ppa2	NM_146141	chr3	1383	993	30	360	66743
Efcab9	NM_027031	chr11	767	651	54	62	4075
Ifnab	NM_008336	chr4	670	573	41	56	0
Gm8720	NM_001166756	chr7	924	924	0	0	0
Tnfaip8l3	NM_001033535	chr9	2225	615	141	1469	40581
Fezf1	NM_028462	chr6	2308	1428	190	690	910
Tnfaip8l1	NM_025566	chr17	2365	561	121	1683	9100
Dld	NM_007861	chr12	2277	1530	132	615	17633
Fbxw8	NM_172721	chr5	4978	1797	77	3104	85500
Rpl37rt	NM_001271590	chr5	683	294	83	306	6664
Ddost	NM_007838	chr4	2095	1326	141	628	5779
Gtf2ird2	NM_053266	chr5	3468	2811	226	431	30638
Myoz3	NM_133363	chr18	3397	738	26	2633	14603
Ankib1	NM_001289527	chr5	6644	3276	611	2757	106482
Map4k4	NM_001252200	chr1	5782	3867	317	1598	119616
Lef1	NM_010703	chr3	3657	1194	1175	1288	110404
Lpar1	NM_172989	chr4	3451	1095	275	2081	114591
Lpar6	NM_175116	chr14	2468	1035	710	723	0
Fbxw5	NM_013908	chr2	2359	1722	132	505	2334
Lpar4	NM_175271	chrX	4237	1113	549	2575	9038
Fbxw7	NM_001177773	chr3	4164	2133	374	1657	159458
Hus1b	NM_153072	chr13	1186	831	87	268	0
0610037L13Rik	NM_028754	chr4	1551	591	106	854	6353
Pirt	NM_178656	chr11	3014	408	178	2428	13696
Rhox4e	NM_201236	chrX	977	618	222	137	3894
Ncald	NM_134094	chr15	3728	582	493	2653	422526
Pard6g	NM_053117	chr18	3143	1149	176	1818	69603
Ntn1	NM_008744	chr11	5738	1815	281	3642	171725
Ntn3	NM_010947	chr17	4896	1743	401	2752	646
Ntn4	NM_021320	chr10	2411	1887	405	119	102513
Ntn5	NM_001289692	chr7	2027	1182	443	402	8508
Pard6a	NM_001047436	chr8	1280	993	155	132	1067
Ccrl2	NM_017466	chr9	2111	1083	516	512	326
Wdr45	NM_001290792	chrX	1601	1083	176	342	4381
Col4a6	NM_053185	chrX	6648	5076	257	1315	302026
Cntnap5c	NM_001081653	chr17	3918	3918	0	0	636855
Hcar2	NM_030701	chr5	1947	1083	78	786	0
Col4a3	NM_007734	chr1	8609	5010	424	3175	126530
Col4a2	NM_009932	chr8	6450	5124	355	971	130033
Col4a1	NM_009931	chr8	6615	5010	227	1378	107789
Fam84a	NM_029007	chr12	3380	879	253	2248	1061
Smim22	NM_001253796	chr16	449	276	112	61	544
Smim23	NM_027050	chr11	606	411	77	118	3613
Arl4d	NM_025404	chr11	1382	606	199	577	910
Vwc2l	NM_177164	chr1	4655	669	804	3182	155028
Smim26	NM_001033297	chr2	460	324	26	110	842
Arl4c	NM_177305	chr1	3966	579	527	2860	0
Smim24	NM_001099917	chr10	575	363	29	183	1441
Arl4a	NM_001039515	chr12	3693	603	237	2853	1004
Lyar	NM_025281	chr5	1551	1167	203	181	12274
Slc18b1	NM_183116	chr10	2837	1374	155	1308	28146
Gldn	NM_177350	chr9	4649	1650	38	2961	50643
Gldc	NM_138595	chr19	3785	3078	181	526	73216
U2surp	NM_001114977	chr9	7736	3090	135	4511	47367
Sv2b	NM_153579	chr7	5523	2052	771	2700	188845
B3gat3	NM_024256	chr19	1584	1008	174	402	5260
Pom121l12	NM_001164166	chr11	1077	837	56	184	0
Pgs1	NM_133757	chr11	2298	1662	23	613	34857
St7l	NM_153091	chr3	5724	1680	589	3455	59834
Vmn2r57	NM_177764	chr7	2592	2592	0	0	46318
Ahcy	NM_016661	chr2	2541	1299	105	1137	12645
Atf7	NM_001310066	chr15	7484	1452	447	5585	89345
Oplah	NM_153122	chr15	3970	3867	71	32	6673
Vmn2r56	NM_001104648	chr7	2340	2340	0	0	36768
Smtnl1	NM_024230	chr2	1761	1380	162	219	9716
Rpl14	NM_025974	chr9	935	654	22	259	2202
Nutf2	NM_026532	chr8	1965	384	98	1483	17803
Olfr1137	NM_001011833	chr2	933	933	0	0	0
Tubb4b	NM_146116	chr2	1600	1338	112	150	945
Tubb4a	NM_009451	chr17	2228	1335	269	624	5489
Afmid	NM_027827	chr11	2332	918	31	1383	11658
5830411N06Rik	NM_001128146	chr7	3342	3339	3	0	49072
Col18a1	NM_001109991	chr10	5628	4584	29	1015	55899
Cmpk2	NM_020557	chr12	3189	1344	137	1708	7434
Rpl17	NM_001002239	chr18	775	555	80	140	2130
Tomm20	NM_024214	chr8	4986	438	197	4351	10272
Apol10a	NM_177744	chr15	3033	957	129	1947	10990
Wdpcp	NM_145425	chr11	2443	2169	114	160	323963
Irx5	NM_018826	chr8	2403	1455	388	560	1258
Irx4	NM_018885	chr13	2601	1548	467	586	6523
Ap1b1	NM_001243043	chr11	4315	2862	451	1002	90959
Igf2r	NM_010515	chr17	8929	7452	173	1304	78372
Irx1	NM_010573	chr13	2062	1443	235	384	3430
Prl3d2	NM_172155	chr13	855	672	47	136	5005
Prl3d1	NM_001205322	chr13	878	675	64	139	5194
Irx2	NM_010574	chr13	2646	1425	265	956	2754
Aoc1	NM_001161621	chr6	2831	2271	206	354	1371
Aoc3	NM_009675	chr11	4396	2298	334	1764	4429
Aoc2	NM_178932	chr11	2535	2274	30	231	2097
Rab33a	NM_011228	chrX	1166	714	316	136	9790
Rpl12	NM_009076	chr2	638	498	91	49	1696
Rab33b	NM_016858	chr3	3472	690	366	2416	8775
Azgp1	NM_013478	chr5	1314	924	39	351	7398
Cldn34b4	NM_001033799	chrX	1103	636	262	205	3527
Rpl13	NM_016738	chr8	778	636	102	40	2115
Mageb16	NM_028025	chrX	1854	1092	306	456	46351
Map3k10	NM_001290528	chr7	3669	2823	557	289	14538
Map3k11	NM_022012	chr19	3803	2553	730	520	9931
Map3k12	NM_001163643	chr15	5528	2667	427	2434	13830
Map3k13	NM_172821	chr16	6709	2880	0	3829	33200
Gnrhr	NM_010323	chr5	2482	984	76	1422	14666
Galnt9	NM_198306	chr5	2891	1815	347	729	74138
Hdgfl3	NM_013886	chr7	5868	609	437	4822	47336
Galnt4	NM_015737	chr10	5113	1737	280	3096	0
Map3k19	NM_011737	chr1	3936	3936	0	0	21084
Galnt6	NM_001161767	chr15	5698	1869	391	3438	33764
Galnt7	NM_001167981	chr8	4340	1974	77	2289	124891
Islr2	NM_001161536	chr9	4304	2238	625	1441	1685
Nrp2	NM_001077403	chr1	6739	2796	888	3055	108637
Galnt3	NM_015736	chr2	3684	1902	378	1404	38344
